class_id,class_name,precision,recall,f1_score,support
0,airplane,0.8525641025641025,0.798,0.8243801652892562,1000
1,automobile,0.8807763401109058,0.953,0.9154658981748319,1000
2,bird,0.8910891089108911,0.63,0.7381370826010545,1000
3,cat,0.7424425634824667,0.614,0.6721401204159825,1000
4,deer,0.7990338164251207,0.827,0.8127764127764128,1000
5,dog,0.7374631268436578,0.75,0.7436787307882995,1000
6,frog,0.8847352024922118,0.852,0.8680590932246561,1000
7,horse,0.7994350282485876,0.849,0.8234723569350145,1000
8,ship,0.8635097493036211,0.93,0.8955223880597015,1000
9,truck,0.7225656877897991,0.935,0.8151700087183958,1000
